Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	AID_cos_sim	Year_Diff	AID_cos_dist	Diffusion_Z_value
11845786	11015443	2001.0	2000.0	0.5991813	1.0	0.4008186999999999	0.1571492789927638
11468180	11015443	2001.0	2000.0	0.61524826	1.0	0.38475174	0.0838166547318584
11466340	11015443	2001.0	2000.0	0.82535946	1.0	0.1746405399999999	-0.8751703398587797
11209085	11015443	2001.0	2000.0	0.74739295	1.0	0.25260705	-0.5193165390922284
11831870	11015443	2001.0	2000.0	0.7827271	1.0	0.2172729	-0.6805882386252131
11438696	11015443	2001.0	2000.0	0.67901975	1.0	0.3209802499999999	-0.2072484076525692
11369203	11015443	2001.0	2000.0	0.59180725	1.0	0.40819275	0.1908058287029226
11513539	11015443	2001.0	2000.0	0.7637667	1.0	0.2362332999999999	-0.5940494105559035
11511400	11015443	2001.0	2000.0	0.57220614	1.0	0.4277938599999999	0.2802689775952258
11905831	11015443	2001.0	2000.0	0.72835326	1.0	0.27164674	-0.432415816565122
11567632	11015443	2001.0	2000.0	0.6984998	1.0	0.3015002	-0.2961590159589105
11274928	11015443	2001.0	2000.0	0.70736647	1.0	0.29263353	-0.3366281637974214
11696598	11015443	2001.0	2000.0	0.6445648	1.0	0.3554351999999999	-0.0499895421124615
11313397	11015443	2001.0	2000.0	0.66891766	1.0	0.33108234	-0.1611405708110101
11745385	11015443	2001.0	2000.0	0.6696828	1.0	0.3303172	-0.164632813533155
11698646	11015443	2001.0	2000.0	0.84039176	1.0	0.1596082399999999	-0.9437805814774314
11698420	11015443	2001.0	2000.0	0.6849305	1.0	0.3150695	-0.2342261812233098
11323285	11015443	2001.0	2000.0	0.84952766	1.0	0.1504723399999999	-0.9854785456215636
11500834	11015443	2001.0	2000.0	0.71607244	1.0	0.2839275599999999	-0.3763638466420119
11228420	11015443	2001.0	2000.0	0.6829839	1.0	0.3170161	-0.225341533076661
11224518	11015443	2001.0	2000.0	0.7707008	1.0	0.2292992	-0.6256979458038622
11224528	11015443	2001.0	2000.0	0.6729174	1.0	0.3270826	-0.1793961356821068
11224527	11015443	2001.0	2000.0	0.9679436	1.0	0.0320563999999999	-1.5259511449509915
11285307	11015443	2001.0	2000.0	0.81364304	1.0	0.18635696	-0.8216943975807779
11283156	11015443	2001.0	2000.0	0.72787154	1.0	0.27212846	-0.4302171559747573
11238124	11015443	2001.0	2000.0	0.6697842	1.0	0.3302157999999999	-0.1650956221851998
11237003	11015443	2001.0	2000.0	0.6587429	1.0	0.3412571	-0.1147010544354861
18173375	11015443	2008.0	2000.0	0.7892371	8.0	0.2107628999999999	-1.1354412878650095
17868872	11015443	2008.0	2000.0	0.44017175	8.0	0.55982825	0.7471738769535627
18094175	11015443	2008.0	2000.0	0.7716308	8.0	0.2283692	-1.0404851789978724
17981268	11015443	2008.0	2000.0	0.5411636	8.0	0.4588364	0.2024942393639753
18941206	11015443	2008.0	2000.0	0.5227692	8.0	0.4772307999999999	0.3017008102474462
18941172	11015443	2008.0	2000.0	0.47794315	8.0	0.52205685	0.5434612757560271
17981145	11015443	2008.0	2000.0	0.6940114	8.0	0.3059886	-0.6218602437984356
18585785	11015443	2008.0	2000.0	0.70247644	8.0	0.29752356	-0.667514768588123
18759925	11015443	2008.0	2000.0	0.6976943	8.0	0.3023057	-0.6417232390527925
18448390	11015443	2008.0	2000.0	0.45504168	8.0	0.54495832	0.666975840345831
18759926	11015443	2008.0	2000.0	0.75590056	8.0	0.2440994399999999	-0.9556472299713205
18201932	11015443	2008.0	2000.0	0.57503444	8.0	0.4249655599999999	0.0198185397302431
18607390	11015443	2008.0	2000.0	0.59629744	8.0	0.40370256	-0.0948592598552418
18452109	11015443	2008.0	2000.0	0.48914856	8.0	0.5108514399999999	0.4830271054953299
17975811	11015443	2008.0	2000.0	0.61234856	8.0	0.3876514399999999	-0.1814278119166905
18813109	11015443	2008.0	2000.0	0.63925797	8.0	0.36074203	-0.3265584109358151
18453600	11015443	2008.0	2000.0	0.59621906	8.0	0.40378094	-0.0944365327738561
18593946	11015443	2008.0	2000.0	0.61916137	8.0	0.3808386299999999	-0.2181713598541401
18599457	11015443	2008.0	2000.0	0.7767117	8.0	0.2232883	-1.0678880117079272
18005363	11015443	2008.0	2000.0	0.5066198	8.0	0.4933802	0.3887994161180124
18836470	11015443	2008.0	2000.0	0.5870079	8.0	0.4129921	-0.0447579568236215
18472048	11015443	2008.0	2000.0	-0.07194604	8.0	1.07194604	3.509180239450937
18825752	11015443	2008.0	2000.0	0.7455312	8.0	0.2544688	-0.8997221306010641
18981091	11015443	2008.0	2000.0	0.57047915	8.0	0.4295208499999999	0.0443865985024654
18799583	11015443	2008.0	2000.0	0.5537119	8.0	0.4462880999999999	0.1348174565704582
18549878	11015443	2008.0	2000.0	0.6722757	8.0	0.3277242999999999	-0.5046330299316142
18550794	11015443	2008.0	2000.0	0.5669469	8.0	0.4330530999999999	0.0634370926747757
19058313	11015443	2008.0	2000.0	0.43669644	8.0	0.56330356	0.765917276458686
18546634	11015443	2008.0	2000.0	0.57711226	8.0	0.4228877399999999	0.0086122270963384
18549325	11015443	2008.0	2000.0	0.5532924	8.0	0.4467076	0.1370799471374578
18986838	11015443	2008.0	2000.0	0.63689905	8.0	0.36310095	-0.3138360408564197
18483370	11015443	2008.0	2000.0	0.06745226	8.0	0.93254774	2.757362983656488
18037500	11015443	2008.0	2000.0	0.5188442	8.0	0.4811558	0.3228695241341526
17989360	11015443	2008.0	2000.0	0.41838956	8.0	0.58161044	0.864651825472255
18537273	11015443	2008.0	2000.0	0.38910237	8.0	0.61089763	1.0226065122634902
18578969	11015443	2008.0	2000.0	0.37992224	8.0	0.62007776	1.072117734024705
18345967	11015443	2008.0	2000.0	0.6668205	8.0	0.3331794999999999	-0.4752114839456885
18566376	11015443	2008.0	2000.0	0.6187076	8.0	0.3812924	-0.2157240407967208
18537522	11015443	2008.0	2000.0	0.576628	8.0	0.4233719999999999	0.0112239879592114
17920123	11015443	2008.0	2000.0	0.46372947	8.0	0.53627053	0.6201199573349304
18620519	11015443	2008.0	2000.0	0.62929523	8.0	0.37070477	-0.2728263363911932
18925909	11015443	2008.0	2000.0	0.5525487	8.0	0.4474513	0.1410909465049849
18268348	11015443	2008.0	2000.0	0.6765795	8.0	0.3234205	-0.527844726957246
19050238	11015443	2008.0	2000.0	0.69111365	8.0	0.30888635	-0.6062318003168559
18631863	11015443	2008.0	2000.0	0.5709665	8.0	0.4290334999999999	0.0417581723336282
18322304	11015443	2008.0	2000.0	0.45770878	8.0	0.5422912200000001	0.6525913621783834
17942524	11015443	2008.0	2000.0	0.47638142	8.0	0.52361858	0.5518841586957172
18833008	11015443	2008.0	2000.0	0.65227956	8.0	0.34772044	-0.3967877900593801
18500231	11015443	2008.0	2000.0	0.63715005	8.0	0.36284995	-0.3151897598845887
18250483	11015443	2008.0	2000.0	0.58733636	8.0	0.41266364	-0.0465294410945073
18716931	11015443	2008.0	2000.0	0.6612625	8.0	0.3387375	-0.4452355064215322
18410915	11015443	2008.0	2000.0	0.40385297	8.0	0.59614703	0.943052058490944
18929358	11015443	2008.0	2000.0	0.5651708	8.0	0.4348292	0.0730161379573692
