year_diff	total_grant_cnt_new	threshold
-15	1.7116920842411039	Threshold 0.5%
-14	1.843239403267819	Threshold 0.5%
-13	2.0574819641610427	Threshold 0.5%
-12	2.3053066850447967	Threshold 0.5%
-11	2.4698685999093795	Threshold 0.5%
-10	2.5585585585585586	Threshold 0.5%
-9	2.76390134529148	Threshold 0.5%
-8	2.8315083798882683	Threshold 0.5%
-7	2.9644930772666367	Threshold 0.5%
-6	2.917838803304309	Threshold 0.5%
-5	2.7542410714285714	Threshold 0.5%
-4	2.579017857142857	Threshold 0.5%
-3	2.0395089285714287	Threshold 0.5%
-2	1.9982142857142857	Threshold 0.5%
-1	1.3924107142857143	Threshold 0.5%
0	1.0948660714285714	Threshold 0.5%
1	1.3158482142857142	Threshold 0.5%
2	1.1157629832990164	Threshold 0.5%
3	1.0584795321637428	Threshold 0.5%
4	0.9302156530167192	Threshold 0.5%
5	0.9669647292598113	Threshold 0.5%
6	0.8140243902439024	Threshold 0.5%
7	0.8699586349534644	Threshold 0.5%
8	0.6951283394447355	Threshold 0.5%
9	0.6490716180371353	Threshold 0.5%
10	0.6521386031402274	Threshold 0.5%
-15	1.732276119402985	Threshold 0.25%
-14	1.809065934065934	Threshold 0.25%
-13	2.053249097472924	Threshold 0.25%
-12	2.2566964285714284	Threshold 0.25%
-11	2.4150110375275937	Threshold 0.25%
-10	2.4888010540184453	Threshold 0.25%
-9	2.61077057793345	Threshold 0.25%
-8	2.743131269079808	Threshold 0.25%
-7	2.927668845315904	Threshold 0.25%
-6	2.9202961672473866	Threshold 0.25%
-5	2.6882890727035265	Threshold 0.25%
-4	2.480191554201132	Threshold 0.25%
-3	1.9891162385720504	Threshold 0.25%
-2	1.9394862864606008	Threshold 0.25%
-1	1.348280365694384	Threshold 0.25%
0	1.0291684806269046	Threshold 0.25%
1	1.2533739660426644	Threshold 0.25%
2	1.1236005373936409	Threshold 0.25%
3	0.9793483249196879	Threshold 0.25%
4	0.8841754051477597	Threshold 0.25%
5	0.9599022004889975	Threshold 0.25%
6	0.827	Threshold 0.25%
7	0.8823828920570265	Threshold 0.25%
8	0.7178294573643411	Threshold 0.25%
9	0.6411733892090099	Threshold 0.25%
10	0.6438502673796791	Threshold 0.25%
-15	1.6201641266119577	Threshold 0.1%
-14	1.759725400457666	Threshold 0.1%
-13	1.9753363228699552	Threshold 0.1%
-12	2.1687014428412876	Threshold 0.1%
-11	2.2216097023153254	Threshold 0.1%
-10	2.3658269441401973	Threshold 0.1%
-9	2.4170305676855897	Threshold 0.1%
-8	2.5768811341330427	Threshold 0.1%
-7	2.872410032715376	Threshold 0.1%
-6	2.7854030501089326	Threshold 0.1%
-5	2.5294117647058822	Threshold 0.1%
-4	2.363834422657952	Threshold 0.1%
-3	1.8213507625272332	Threshold 0.1%
-2	1.8616557734204793	Threshold 0.1%
-1	1.2723311546840959	Threshold 0.1%
0	0.9705882352941176	Threshold 0.1%
1	1.1993464052287581	Threshold 0.1%
2	1.0504484304932735	Threshold 0.1%
3	0.7731481481481481	Threshold 0.1%
4	0.8766626360338573	Threshold 0.1%
5	0.8436724565756824	Threshold 0.1%
6	0.7689393939393939	Threshold 0.1%
7	0.7076923076923077	Threshold 0.1%
8	0.6310299869621904	Threshold 0.1%
9	0.473753280839895	Threshold 0.1%
10	0.5534506089309879	Threshold 0.1%
