src_pmid	calendar_year	cite_diff_2y_scaled	rolling_2y_cite
8392054	1982	NA	NA
8392054	1983	NA	1.5
8392054	1984	0.05082369414120056	6
8392054	1985	0.1774034606815491	16
8392054	1986	0.3269977302292338	32.5
8392054	1987	0.13137445466687692	40.5
8392054	1988	0.154388957674213	49.5
8392054	1989	-0.01821981488080774	51
8392054	1990	-0.16781408442849238	46
8392054	1991	0.06233094564486861	51
8392054	1992	0.6722152753392753	82.5
8392054	1993	0.7412587843612837	117
8392054	1994	0.5801572633099308	144.5
8392054	1995	0.5571427603025947	171
8392054	1996	0.6607080238356072	202
8392054	1997	1.834447677209748	284
8392054	1998	1.1209980839823293	335
8392054	1999	-0.984828941188924	294.5
8392054	2000	2.3522739948748104	399
8392054	2001	-1.249495725773289	347
8392054	2002	-4.275902871237986	163.5
8392054	2003	-0.5015243780348658	144
8392054	2004	-0.6511186475825506	118
8392054	2005	0.07383819714853666	123.5
8392054	2006	0.09685270015587276	130
8392054	2007	-0.04123431788814384	130.5
8392054	2008	0.10835995165954082	137.5
8392054	2009	-0.524538881042202	117
8392054	2010	-0.777698414122899	85.5
8392054	2011	0.0393164426375325	89.5
8392054	2012	-0.4554953720201937	72
8392054	2013	-0.25987209645783677	63
8392054	2014	0.29247597571822964	78
8392054	2015	-0.11027782691015212	75.5
8392054	2016	-0.524538881042202	55
8392054	2017	-0.31740835397617706	43.5
8392054	2018	0.5801572633099308	71
8392054	2019	0.24644696970355745	84
2529260	1975	NA	4
2529260	1976	0.19994360064733877	15
2529260	1977	0.11226069272225996	23
2529260	1978	0.14148832869728625	32
2529260	1979	0.22917123662236505	44
2529260	1980	-0.03387748715287135	47
2529260	1981	0.09764687473474684	54.5
2529260	1982	-0.01926366916535822	58
2529260	1983	-0.3992229368406997	48.5
2529260	1984	-0.09233275910292388	49.5
2529260	1985	0.11226069272225996	57.5
2529260	1986	0.30224032655993066	72
2529260	1987	0.6237443222852196	97.5
2529260	1988	0.5214475963726276	119.5
2529260	1989	1.106000315873153	161.5
2529260	1990	1.0913864978856398	203
2529260	1991	-0.32615384690313404	196
2529260	1992	2.1581952109740983	274
2529260	1993	2.625837386574519	368
2529260	1994	0.5214475963726276	390
2529260	1995	-0.5015196627532916	377
2529260	1996	-0.545361116715831	362.5
2529260	1997	0.37530941649749633	379.5
2529260	1998	-0.6914992965909623	360
2529260	1999	-0.5015196627532916	347
2529260	2000	0.14148832869728625	356
2529260	2001	-0.9399342023786854	328
2529260	2002	-1.013003292316251	297.5
2529260	2003	0.30224032655993066	312
2529260	2004	0.3314679625349569	327.5
2529260	2005	-0.6476578426284229	309.5
2529260	2006	0.8721792280729428	343.5
2529260	2007	0.19994360064733877	354.5
2529260	2008	-1.9775152794921176	291
2529260	2009	-0.998389474328738	261
2529260	2010	2.3774024807867953	346.5
2529260	2011	-0.26769857495308147	341.5
2529260	2012	-2.196722549304815	270.5
2529260	2013	1.4275043115984418	323.5
2529260	2014	-0.9399342023786854	295.5
2529260	2015	-1.904446189554552	234.5
2529260	2016	0.09764687473474684	242
2529260	2017	-0.07771894111541075	243.5
2529260	2018	-0.9399342023786854	215.5
2529260	2019	-0.9545480203661986	187
10809678	1990	NA	NA
10809678	1991	NA	2
10809678	1992	-0.13120677844128317	9.5
10809678	1993	0.308050697209969	28
10809678	1994	0.308050697209969	46.5
10809678	1995	0.5875781817153113	72
10809678	1996	1.5060256308042932	120.5
10809678	1997	0.687409426181505	148.5
10809678	1998	0.2481519505302528	165.5
10809678	1999	-1.3890804587153234	141.5
10809678	2000	-0.590430502985774	137.5
10809678	2001	0.46778068835587894	160
10809678	2002	-2.187730414444873	116
10809678	2003	-0.19110552512099935	122
10809678	2004	1.6857218708434418	175
10809678	2005	-0.7301942452384451	167.5
10809678	2006	-0.19110552512099935	173.5
10809678	2007	-1.029687978637026	158.5
10809678	2008	-0.29093676958719306	162
10809678	2009	0.308050697209969	180.5
10809678	2010	0.48774693724911766	203.5
10809678	2011	2.1449455953879326	268
10809678	2012	-0.23103802290747685	273
10809678	2013	-1.7484729387936206	240
10809678	2014	-1.0895867253167424	223.5
10809678	2015	1.306363141871906	267
10809678	2016	0.308050697209969	285.5
10809678	2017	-1.1694517208896973	267
10809678	2018	0.008556963811388	278
10809678	2019	0.60754443060855	304
10820025	1975	NA	NA
10820025	1976	NA	0.5
10820025	1977	-3.8429812852122e-4	3
10820025	1978	-0.06648357623417096	3.5
10820025	1979	-0.01690911765493365	5.5
10820025	1980	-3.8429812852122e-4	8
10820025	1981	-0.11605803481340826	7
10820025	1982	-0.0830083957605834	7
10820025	1983	-0.04995875670775852	8
10820025	1984	-0.04995875670775852	9
10820025	1985	-0.1325828543398207	7.5
10820025	1986	-0.11605803481340826	6.5
10820025	1987	-0.01690911765493365	8.5
10820025	1988	0.21443835571484043	17.5
10820025	1989	0.26401281429407775	28
10820025	1990	0.01614052139789121	31
10820025	1991	-0.2482565910247077	26
10820025	1992	-0.03343393718134609	27.5
10820025	1993	0.8093318586656881	54.5
10820025	1994	0.26401281429407775	65
10820025	1995	-0.03343393718134609	66.5
10820025	1996	1.0737289710882871	101.5
10820025	1997	1.404225361616536	146.5
10820025	1998	1.63557283498631	198.5
10820025	1999	1.189402707773174	237
10820025	2000	0.8093318586656881	264
10820025	2001	2.7262109237295307	349
10820025	2002	0.9745800539298124	381
10820025	2003	0.3796865509789647	395
10820025	2004	0.4457858290846145	411
10820025	2005	-1.504142875032053	368
10820025	2006	1.7347217521447846	423
10820025	2007	-1.00839828923968	395
10820025	2008	-3.635844593939257	287.5
10820025	2009	-1.091022386871742	257
10820025	2010	-1.272795401662279	221
10820025	2011	-0.94229901113403	195
10820025	2012	-0.5787529815529565	180
10820025	2013	-0.6118026206057814	164
10820025	2014	0.14833907760919068	171
10820025	2015	-0.09953321528699584	170.5
10820025	2016	-0.710951537764256	151.5
10820025	2017	-0.3639303277095948	143
10820025	2018	-0.6283274401321938	126.5
10820025	2019	-0.6779018987114311	108.5
6934526	1976	NA	1
6934526	1977	0.5415050038627025	13.5
6934526	1978	1.5694290898899823	49
6934526	1979	1.5694290898899823	84.5
6934526	1980	1.770544671938798	124.5
6934526	1981	2.5526608243508586	182
6934526	1982	1.524736738323579	216.5
6934526	1983	0.5191588280795008	228.5
6934526	1984	1.2789288047083598	257.5
6934526	1985	1.6141214414563858	294
6934526	1986	-0.19591879698295472	290
6934526	1987	-0.6875346642133929	275
6934526	1988	0.9437361679603335	296.5
6934526	1989	-0.7992655431294017	279
6934526	1990	-2.676344308918347	219.5
6934526	1991	-2.2964593206039177	168.5
6934526	1992	-0.8886502462622086	149
6934526	1993	0.11692766398186956	152
6934526	1994	-1.000381125178217	130
6934526	1995	-0.2629573243325599	124.5
6934526	1996	-0.21826497276615647	120
6934526	1997	-1.357919937709445	90
6934526	1998	-0.5758037852973842	77.5
6934526	1999	0.2733508944642817	84
6934526	2000	-0.508765257947779	73
6934526	2001	-0.7098808399965947	57.5
6934526	2002	-0.19591879698295472	53.5
6934526	2003	0.49681265229629906	65
6934526	2004	-0.0394955665005426	64.5
6934526	2005	-0.933342597828612	44
6934526	2006	0.07223531241546607	46
6934526	2007	-0.06184174228374434	45
6934526	2008	-0.28530350011576167	39
6934526	2009	-0.1065340938501478	37
6934526	2010	-0.15122644541655125	34
6934526	2011	0.00519678506586086	34.5
6934526	2012	-0.21826497276615647	30
6934526	2013	0.29569707024748343	37
6934526	2014	0.04988913663226434	38.5
6934526	2015	-0.6204961368637877	25
6934526	2016	-0.01714939071734086	25
6934526	2017	-0.08418791806694607	23.5
6934526	2018	-0.2629573243325599	18
6934526	2019	-0.0394955665005426	17.5
11917126	1978	NA	NA
11917126	1979	NA	NA
11917126	1980	NA	3
11917126	1981	-0.2700045429208368	4
11917126	1982	-0.35069555574775363	3
11917126	1983	-0.3103500493342952	3
11917126	1984	-0.3708683089544828	1.5
11917126	1985	-0.2700045429208368	2.5
11917126	1986	-0.00775875123335738	10
11917126	1987	-0.1691407768871909	13.5
11917126	1988	-0.04810425764681576	20
11917126	1989	-0.20948628330064928	22.5
11917126	1990	-0.18931353009392007	25.5
11917126	1991	0.1536232744204761	37
11917126	1992	-0.6129413474352331	29.5
11917126	1993	-0.7339778666756082	19
11917126	1994	-0.20948628330064928	21.5
11917126	1995	-0.08844976406027413	27
11917126	1996	-0.22965903650737848	29
11917126	1997	0.1737960276272053	41
11917126	1998	0.577251091761789	63
11917126	1999	0.35535080648776796	79.5
11917126	2000	-0.1691407768871909	83
11917126	2001	-0.1691407768871909	86.5
11917126	2002	0.678114857795435	111
11917126	2003	-0.12879527047373251	115.5
11917126	2004	-1.4400242289111298	87.5
11917126	2005	0.5167328321416015	108
11917126	2006	0.9605334026896436	139.5
11917126	2007	-0.4313865685746704	136.5
11917126	2008	0.9403606494829144	167.5
11917126	2009	-0.35069555574775363	166.5
11917126	2010	2.5541809060212493	237.5
11917126	2011	2.070034829059749	296.5
11917126	2012	-2.751253187348527	236
11917126	2013	-0.06827701085354496	242
11917126	2014	0.07293226159355937	251.5
11917126	2015	-1.4400242289111298	223.5
11917126	2016	1.7876162841655403	275.5
11917126	2017	2.3524533739539577	341.5
11917126	2018	-1.4803697353245882	312.5
11917126	2019	-0.6936323602621498	303
