src_pmid	burst_year	threshold	time_period	Avg. # of Pub.	after_burst_window
1039	1991	Threshold of 0.5%	Earlier Entrants	10	5y
1039	1991	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.429824561403509	5y
2662	2000	Threshold of 0.5%	Earlier Entrants	20.5	5y
2662	2000	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.253218884120171	5y
3799	1982	Threshold of 0.5%	Earlier Entrants	10.466666666666669	5y
3799	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.401709401709402	5y
4140	1982	Threshold of 0.5%	Earlier Entrants	6.176470588235294	5y
4140	1982	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	4.825641025641025	5y
6448	1989	Threshold of 0.5%	Earlier Entrants	7.3076923076923075	5y
6448	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.691666666666666	5y
8103	1988	Threshold of 0.5%	Earlier Entrants	13	5y
8103	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	13.321428571428571	5y
10896	1981	Threshold of 0.5%	Earlier Entrants	6.96969696969697	5y
10896	1981	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.464516129032258	5y
10972	1988	Threshold of 0.5%	Earlier Entrants	5.625	5y
10972	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.899328859060402	5y
14138	1997	Threshold of 0.5%	Earlier Entrants	7.40625	5y
14138	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.302439024390244	5y
14146	1984	Threshold of 0.5%	Earlier Entrants	9.423076923076923	5y
14146	1984	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.69	5y
14678	2000	Threshold of 0.5%	Earlier Entrants	14.166666666666666	5y
14678	2000	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.981530343007916	5y
15334	2004	Threshold of 0.5%	Earlier Entrants	15.833333333333334	5y
15334	2004	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.775	5y
16363	2000	Threshold of 0.5%	Earlier Entrants	20.666666666666668	5y
16363	2000	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.718446601941748	5y
16567	1980	Threshold of 0.5%	Earlier Entrants	12.76923076923077	5y
16567	1980	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.478260869565217	5y
16569	1979	Threshold of 0.5%	Earlier Entrants	13.2	5y
16569	1979	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.075949367088608	5y
16902	1992	Threshold of 0.5%	Earlier Entrants	9.22222222222222	5y
16902	1992	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.610810810810811	5y
16922	1985	Threshold of 0.5%	Earlier Entrants	8.75	5y
16922	1985	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	10.321917808219178	5y
17606	1997	Threshold of 0.5%	Earlier Entrants	15.38888888888889	5y
17606	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.598039215686274	5y
18025	2009	Threshold of 0.5%	Earlier Entrants	9.772727272727272	5y
18025	2009	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.501901140684411	5y
18163	1993	Threshold of 0.5%	Earlier Entrants	17.6875	5y
18163	1993	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.023076923076925	5y
19048	1983	Threshold of 0.5%	Earlier Entrants	5.7	5y
19048	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	8.863636363636363	5y
19472	1996	Threshold of 0.5%	Earlier Entrants	11.45	5y
19472	1996	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.561538461538461	5y
20444	1989	Threshold of 0.5%	Earlier Entrants	11.76923076923077	5y
20444	1989	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	11.563953488372093	5y
21886	1997	Threshold of 0.5%	Earlier Entrants	3	5y
21886	1997	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	7.14	5y
22345	2014	Threshold of 0.5%	Earlier Entrants	3.272727272727273	5y
22345	2014	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	6.3565891472868215	5y
22348	1980	Threshold of 0.5%	Earlier Entrants	4.981132075471698	5y
22348	1980	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	5.291970802919708	5y
22399	1983	Threshold of 0.5%	Earlier Entrants	18.424242424242426	5y
22399	1983	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	12.975308641975309	5y
23147	1988	Threshold of 0.5%	Earlier Entrants	13.173913043478262	5y
23147	1988	Threshold of 0.5%	Near-Collapse Actives (≤ 2y)	9.6875	5y
